Speakers,Formants-1,Formants-2,Formants-3,Formants-4
person1,555,1683,2630,3816
person1,575,1865,2597,3789
person1,555,1907,2464,3915
person1,575,1848,2563,3959
person1,436,1728,2623,3876
person1,495,1868,2683,3863
person1,535,1410,2524,3717
person1,595,1337,2563,3959
person1,515,1152,2504,3657
person1,475,1212,2245,2583
person1,575,1712,2410,3789
person1,503,1661,2597,3823
person1,520,1746,2512,3908
person1,384,1848,2512,3874
person1,588,1474,2597,3908
person1,503,1491,2495,3721
person1,639,1525,2631,3976
person1,588,1439,2546,3857
person1,588,1371,2512,3840
person1,588,1422,2580,3823
person1,554,1678,2546,3942
person1,554,1610,2495,3925
person1,588,1542,2461,3857
person1,622,1405,2563,3976
person1,571,1320,2512,3959
person1,605,1439,2512,3942
person1,520,1593,2597,3891
person1,520,1525,2461,3789
person1,469,1474,2631,3687
person1,520,1899,2580,3823
person1,520,1831,2648,3976
person1,503,1984,2733,3840
person1,503,1950,2767,3755
person1,535,1814,2750,3840
person1,520,1882,2784,3550
person1,656,1797,2750,3874
person1,537,1610,2767,3891
person1,595,1848,2682,3857
person1,535,1576,2682,3925
person2,635,1748,2683,4174
person2,645,1947,2643,4094
person2,674,1828,2782,4214
person2,555,2007,2563,4174
person2,575,1927,2742,4035
person2,416,1927,2706,4114
person2,600,2027,3001,4094
person2,615,1808,2822,4194
person2,400,1888,2822,4273
person2,600,1927,2842,3995
person2,595,1569,2742,3995
person2,515,1649,3180,4055
person2,515,1669,2742,3935
person2,541,1643,2845,4107
person2,535,1649,2921,4194
person2,595,1709,2743,3975
person2,615,1689,2663,4114
person2,615,1907,2723,4114
person2,635,1769,2723,4015
person2,436,1748,2762,4114
person2,452,1729,2648,4129
person2,535,1430,2524,4000
person2,555,1311,3041,3975
person2,456,1311,2623,4015
person2,555,2000,2882,4094
person2,564,1610,2756,4164
person2,403,1489,2616,3943
person2,684,1650,2756,4084
person2,523,1711,2777,3983
person2,584,1711,2877,4024
person2,584,1731,2998,4004
person2,423,1509,2693,3943
person2,503,1751,2616,4024
person2,624,1952,2797,4044
person2,584,1831,2877,4124
person2,535,1728,2524,4174
person2,774,1689,2563,4055
person2,515,1907,2643,4055
person2,615,1808,2663,3935
person2,653,1676,2981,4102
person2,574,1859,2960,4082
person3,594,1981,2695,3939
person3,520,1916,2767,4231
person3,588,2018,2750,4044
person3,554,1950,2631,4146
person3,367,1950,2699,4146
person3,996,1644,2904,4146
person3,853,1828,2822,4194
person3,714,1371,2808,4194
person3,794,1470,2868,4074
person3,605,1422,2359,3959
person3,605,1371,2563,3942
person3,503,1712,2750,4317
person3,605,1695,2631,4265
person3,673,1678,2631,4214
person3,639,1593,2597,4180
person3,537,1422,2563,3721
person3,615,1371,2822,4094
person3,690,1644,2904,4248
person3,813,1550,2862,4353
person3,694,1669,2802,3975
person3,694,1709,2643,3915
person3,605,1627,2631,3959
person3,639,1797,2699,3925
person3,792,1984,2852,4317
person3,535,1768,2524,4174
person3,515,1768,2643,4114
person3,575,1669,2742,3975
person3,635,1748,2703,4114
person3,635,1848,2762,4094
person3,654,1788,2703,4055
person3,674,1629,2683,4174
person3,535,1629,2603,4074
person3,595,1728,2623,4074
person3,615,1848,2703,4154
person3,635,1748,2703,4194
person3,635,1768,2822,4214
person3,595,1788,2762,4055
person3,615,2086,2782,4055
person3,435,1814,2631,3925
person3,418,1814,2801,3993
person3,495,1907,2663,4035
